대지위치,건물명,연면적,주용도코드,주용도코드명,사용승인일,건물노후도
인천광역시 부평구 부평동 441-25번지,명신아파트,693.08,02000,공동주택,2002-01-31,211
인천광역시 부평구 부평동 441-28번지,,977.39,04000,제2종근린생활시설,1987-08-10,381
인천광역시 부평구 부평동 441-29번지,명신빌라,654.3,02000,공동주택,2001-04-11,220
인천광역시 부평구 부평동 441-2번지,센트럴타워,7552.55,14000,업무시설,2015-07-17,52
인천광역시 부평구 부평동 441-31번지,,340.26,04000,제2종근린생활시설,1990-08-02,346
인천광역시 부평구 부평동 441-33번지,,450.66,04000,제2종근린생활시설,2000-10-06,226
인천광역시 부평구 부평동 441-34번지,,475.44,04000,제2종근린생활시설,1984-02-15,422
인천광역시 부평구 부평동 441-36번지,부평빌딩,1599.06,04000,제2종근린생활시설,1984-04-23,420
인천광역시 부평구 부평동 441-43번지,수연아파트,484.98,02000,공동주택,2002-05-24,207
인천광역시 부평구 부평동 441-5번지,명신아파트,487.24,02000,공동주택,2002-07-25,205
인천광역시 부평구 부평동 441-7번지,삼성캐슬아파트,2007.8,02000,공동주택,2012-03-15,91
인천광역시 부평구 부평동 441-8번지,,630.37,03000,제1종근린생활시설,1987-09-24,380
인천광역시 부평구 부평동 441-9번지,,268.69,03000,제1종근린생활시설,2000-11-18,225
인천광역시 부평구 부평동 442-10번지,삼일빌라,493.125,02000,공동주택,1995-06-13,289
인천광역시 부평구 부평동 442-13번지,,1.56,01000,단독주택,1985-08-05,405
인천광역시 부평구 부평동 442-13번지,,107.04,01000,단독주택,1971-06-28,571
인천광역시 부평구 부평동 442-13번지,,1020.11,03000,제1종근린생활시설,1979-07-19,476
인천광역시 부평구 부평동 442-15번지,부평우체국청사,12092.37,14000,업무시설,2007-10-04,144
인천광역시 부평구 부평동 442-17번지,월드S클래스,1882.17,02000,공동주택,2015-11-11,48
인천광역시 부평구 부평동 442-18번지,무한레뷰,1975.03,02000,공동주택,2012-09-28,85
인천광역시 부평구 부평동 442-1번지,부평구 보건소,6552.6,03000,제1종근린생활시설,2003-11-11,190
인천광역시 부평구 부평동 442-24번지,,383.64,04000,제2종근린생활시설,1982-07-15,441
인천광역시 부평구 부평동 442-27번지,,219.41,04000,제2종근린생활시설,1984-08-24,416
